Neighborhood,Date,Rent,permits_trailing6,employment_growth,median_income,renter_rate,covid,month,rent_lag1,rent_lag12,rent_yoy_growth
Mar Vista,2020-09-30,2587.753094009918,315.0,1.3985245931648072,87589.0,0.6358,1,9,2634.7450400560188,2720.755962537318,-4.888452707951219
Mar Vista,2020-10-31,2578.0989831903353,344.0,2.83790370624446,87589.0,0.6358,1,10,2587.753094009918,2684.372342467062,-3.9589649168809693
Mar Vista,2020-11-30,2554.030671309855,357.0,1.1357851312209233,87589.0,0.6358,1,11,2578.0989831903353,2680.639056393505,-4.723067239570389
Mar Vista,2020-12-31,2541.946086169188,358.0,-0.7984447684510121,87589.0,0.6358,1,12,2554.030671309855,2673.7161663678744,-4.928349607792892
Mar Vista,2021-01-31,2534.8103110428992,372.0,-2.9640257558790517,90983.0,0.6322,1,1,2541.946086169188,2694.1902673545624,-5.915690448550204
Mar Vista,2021-02-28,2542.180562041687,388.0,2.232319953838946,90983.0,0.6322,1,2,2534.8103110428992,2701.689660696775,-5.904049638845255
Mar Vista,2021-03-31,2550.349029333856,375.0,0.9489205587695616,90983.0,0.6322,1,3,2542.180562041687,2733.1092376852316,-6.686897319412011
Mar Vista,2021-04-30,2551.13920112829,384.0,1.450186951811849,90983.0,0.6322,1,4,2550.349029333856,2690.6968075343457,-5.186671572035683
Mar Vista,2021-05-31,2579.2440351083733,383.0,0.9334527418021654,90983.0,0.6322,1,5,2551.13920112829,2664.39592045921,-3.1959171194107294
Mar Vista,2021-06-30,2592.23957595559,394.0,0.0238883390778932,90983.0,0.6322,1,6,2579.2440351083733,2660.234071880114,-2.5559591407108284
Mar Vista,2021-07-31,2642.257507463933,392.0,0.4861821903787033,90983.0,0.6322,0,7,2592.23957595559,2656.7686757792717,-0.5461961535315973
Mar Vista,2021-08-31,2668.546117972655,382.0,1.0474492827434068,90983.0,0.6322,0,8,2642.257507463933,2634.7450400560188,1.2828974873378085
Mar Vista,2021-09-30,2715.032639148558,399.0,-0.0151204596619658,90983.0,0.6322,0,9,2668.546117972655,2587.753094009918,4.918535135104807
Mar Vista,2021-10-31,2738.6312757255946,387.0,2.619595718582479,90983.0,0.6322,0,10,2715.032639148558,2578.0989831903353,6.226769941028576
Mar Vista,2021-11-30,2749.1176011341045,389.0,0.9758973015457252,90983.0,0.6322,0,11,2738.6312757255946,2554.030671309855,7.638394167138096
Mar Vista,2021-12-31,2792.2894707872147,373.0,0.1962119737951573,90983.0,0.6322,0,12,2749.1176011341045,2541.946086169188,9.84849308882485
Mar Vista,2022-01-31,2810.264665185173,379.0,-2.264157050607707,100344.0,0.6328,0,1,2792.2894707872147,2534.8103110428992,10.866862618565843
Mar Vista,2022-02-28,2851.5731276392826,387.0,1.5731081304851902,100344.0,0.6328,0,2,2810.264665185173,2542.180562041687,12.170361547769627
Mar Vista,2022-03-31,2860.791509356669,429.0,0.283664819041407,100344.0,0.6328,0,3,2851.5731276392826,2550.349029333856,12.172548794385985
Mar Vista,2022-04-30,2898.2476321220697,436.0,0.6047403843027821,100344.0,0.6328,0,4,2860.791509356669,2551.13920112829,13.606016905712725
Mar Vista,2022-05-31,2943.746333017937,488.0,0.252076398539236,100344.0,0.6328,0,5,2898.2476321220697,2579.2440351083733,14.132136895462398
Mar Vista,2022-06-30,2955.5890244779644,538.0,-0.1128267947519412,100344.0,0.6328,0,6,2943.746333017937,2592.23957595559,14.016815879698562
Mar Vista,2022-07-31,2986.839400563588,546.0,-0.4437487897760328,100344.0,0.6328,0,7,2955.5890244779644,2642.257507463933,13.041192697012649
Mar Vista,2022-08-31,3011.1169751211633,562.0,0.3338898163605996,100344.0,0.6328,0,8,2986.839400563588,2668.546117972655,12.837359446077933
Mar Vista,2022-09-30,3038.3039399081763,529.0,0.4539359966398981,100344.0,0.6328,0,9,3011.1169751211633,2715.032639148558,11.906718766408542
Mar Vista,2022-10-31,3026.311018371349,548.0,0.8603499292422434,100344.0,0.6328,0,10,3038.3039399081763,2738.6312757255946,10.504508043695449
Mar Vista,2022-11-30,2999.6136440599253,511.0,0.534128414037216,100344.0,0.6328,0,11,3026.311018371349,2749.1176011341045,9.11187076254878
Mar Vista,2022-12-31,2982.3438177651196,454.0,0.0301329019570584,100344.0,0.6328,0,12,2999.6136440599253,2792.2894707872147,6.806398439926942
Mar Vista,2023-01-31,2999.601077514034,441.0,-2.199039208536135,107786.0,0.6141,0,1,2982.3438177651196,2810.264665185173,6.737316049781583
Mar Vista,2023-02-28,3035.0483691277955,418.0,0.5495574360470767,107786.0,0.6141,0,2,2999.601077514034,2851.5731276392826,6.434176269587932
Mar Vista,2023-03-31,3052.5016673500977,406.0,0.0225715437323525,107786.0,0.6141,0,3,3035.0483691277955,2860.791509356669,6.701297783022997
Mar Vista,2023-04-30,3043.3338992979607,390.0,0.1144441399764772,107786.0,0.6141,0,4,3052.5016673500977,2898.2476321220697,5.005999679525663
Mar Vista,2023-05-31,3020.869549296969,398.0,0.4685235871840332,107786.0,0.6141,0,5,3043.3338992979607,2943.746333017937,2.6199002072289757
Mar Vista,2023-06-30,3029.230329532478,431.0,-0.3124949920674358,107786.0,0.6141,0,6,3020.869549296969,2955.5890244779644,2.4915948883495798
Mar Vista,2023-07-31,3044.883950112654,467.0,-0.8938044561617953,107786.0,0.6141,0,7,3029.230329532478,2986.839400563588,1.9433435067889526
Mar Vista,2023-08-31,3055.5356806030477,500.0,0.2789943227899494,107786.0,0.6141,0,8,3044.883950112654,3011.1169751211633,1.4751570878476672
Mar Vista,2023-09-30,3065.793876545469,504.0,0.53217301284334,107786.0,0.6141,0,9,3055.5356806030477,3038.3039399081763,0.904779020828439
Mar Vista,2023-10-31,3073.7409066311134,533.0,0.859197760293462,107786.0,0.6141,0,10,3065.793876545469,3026.311018371349,1.5672509524579326
Mar Vista,2023-11-30,3060.562410395754,542.0,0.5695142378559392,107786.0,0.6141,0,11,3073.7409066311134,2999.6136440599253,2.0318872217601758
Mar Vista,2023-12-31,3044.195883748184,525.0,0.420354684178803,107786.0,0.6141,0,12,3060.562410395754,2982.3438177651196,2.073941495766718
Mar Vista,2024-01-31,3028.84963064393,499.0,-1.123098551502988,107786.0,0.6141,0,1,3044.195883748184,2999.601077514034,0.9750814316327849
Mar Vista,2024-02-29,3043.11336266875,475.0,0.2044859096427709,107786.0,0.6141,0,2,3028.84963064393,3035.0483691277955,0.2657286659082825
Mar Vista,2024-03-31,3072.941720462444,464.0,0.1004400229577262,107786.0,0.6141,0,3,3043.11336266875,3052.5016673500977,0.6696164438164232
Mar Vista,2024-04-30,3090.6562238018896,425.0,-0.0525586506760933,107786.0,0.6141,0,4,3072.941720462444,3043.3338992979607,1.554950132643862
Mar Vista,2024-05-31,3096.144923780874,403.0,0.1099531503967909,107786.0,0.6141,0,5,3090.6562238018896,3020.869549296969,2.4918445916151333
Mar Vista,2024-06-30,3075.258898073624,428.0,-0.6287506168123125,107786.0,0.6141,0,6,3096.144923780874,3029.230329532478,1.5194806447170972
Mar Vista,2024-07-31,3061.835781976234,433.0,-0.2899340039725806,107786.0,0.6141,0,7,3075.258898073624,3044.883950112654,0.5567316239738052
Mar Vista,2024-08-31,3058.02000213755,438.0,0.2811380468135116,107786.0,0.6141,0,8,3061.835781976234,3055.5356806030477,0.08130559725658681
Mar Vista,2024-09-30,3072.244609467607,448.0,0.437345807567846,107786.0,0.6141,0,9,3058.02000213755,3065.793876545469,0.2104098703924029
Mar Vista,2024-10-31,3077.595811723638,466.0,1.4371161974639168,107786.0,0.6141,0,10,3072.244609467607,3073.7409066311134,0.12541411945972136
